EmployeeNumber,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,AttritionFlag,TenureBand,IncomeBand,JobSatisfactionLabel,WorkLifeBalanceLabel
27,35,Yes,Travel_Rarely,1347,Research & Development,1,1,Life Sciences,3,Male,84,1,2,Manager,4.0,Single,6363.0,17962,0,Yes,11,3,2,1,13,4,3,9.0,4,3,8,1,7-10 yrs,6K-10K,Very High,Better
28,23,Yes,Travel_Rarely,1423,Sales,3,3,Other,3,Male,48,2,3,Manager,3.0,Married,7488.0,17153,5,No,15,3,2,0,0,4,3,0.0,0,0,0,1,0-1 yrs,6K-10K,High,Better
29,42,No,Travel_Rarely,1271,Research & Development,1,4,Marketing,4,Male,66,2,2,Manufacturing Director,2.0,Single,5299.0,9919,2,No,19,3,3,0,18,4,3,7.0,1,0,5,0,7-10 yrs,3K-6K,Medium,Better
30,31,No,Travel_Frequently,953,Research & Development,3,2,Life Sciences,1,Female,80,3,5,Research Scientist,3.0,Single,11071.0,20504,2,No,25,3,1,0,11,2,3,8.0,8,2,2,0,7-10 yrs,10K-15K,High,Better
31,40,Yes,Travel_Frequently,1358,Research & Development,6,3,Technical Degree,4,Female,79,1,4,Manufacturing Director,3.0,Married,10542.0,6754,3,Yes,14,3,3,1,18,4,4,5.0,2,2,4,1,4-6 yrs,10K-15K,High,Best
32,51,No,Travel_Rarely,523,Sales,12,2,Life Sciences,3,Female,47,2,5,Sales Representative,1.0,Divorced,16360.0,12319,4,Yes,14,3,4,0,31,1,3,6.0,4,0,2,0,4-6 yrs,15K+,Low,Better
33,32,No,Travel_Rarely,957,Research & Development,4,2,Other,2,Female,61,2,5,Manufacturing Director,4.0,Married,11370.0,22740,5,No,19,3,1,1,9,6,3,9.0,4,1,2,0,7-10 yrs,10K-15K,Very High,Better
34,23,No,Travel_Frequently,252,Sales,2,2,Life Sciences,4,Female,49,4,5,Sales Representative,1.0,Married,14249.0,16941,2,No,16,3,3,2,3,3,2,3.0,3,1,3,0,2-3 yrs,10K-15K,Low,Good
35,21,Yes,Travel_Rarely,1170,Research & Development,2,4,Life Sciences,4,Male,76,3,2,Manager,3.0,Single,6980.0,25316,7,Yes,15,3,2,1,0,4,2,0.0,0,0,0,1,0-1 yrs,6K-10K,High,Good
36,43,No,Travel_Rarely,1459,Research & Development,1,2,Life Sciences,3,Female,31,3,4,Research Scientist,3.0,Single,9528.0,11728,3,No,13,3,4,0,21,1,4,4.0,2,2,4,0,4-6 yrs,6K-10K,High,Best
37,24,No,Travel_Rarely,773,Sales,10,3,Medical,2,Female,88,3,1,Sales Representative,3.0,Married,8046.0,21652,6,No,16,4,4,3,1,2,3,1.0,1,0,1,0,0-1 yrs,6K-10K,High,Better
38,40,No,Travel_Rarely,195,Research & Development,6,3,Life Sciences,4,Female,37,2,4,Research Director,3.0,Single,10355.0,4858,1,No,18,3,3,0,16,4,3,8.0,5,2,1,0,7-10 yrs,10K-15K,High,Better
39,45,No,Travel_Rarely,744,Research & Development,7,3,Life Sciences,2,Female,62,3,2,Manufacturing Director,3.0,Married,4912.0,19896,2,No,14,3,4,0,22,3,1,12.0,0,3,3,0,10+ yrs,3K-6K,High,Bad
40,33,Yes,Travel_Rarely,704,Research & Development,16,3,Marketing,2,Female,65,3,3,Research Scientist,4.0,Single,7632.0,14849,2,No,16,3,3,1,10,3,2,7.0,6,1,7,1,7-10 yrs,6K-10K,Very High,Good
41,43,No,Travel_Rarely,1455,Sales,1,1,Life Sciences,1,Female,42,1,4,Sales Representative,1.0,Single,10854.0,13655,2,No,11,3,1,1,19,1,3,5.0,5,2,3,0,4-6 yrs,10K-15K,Low,Better
42,57,Yes,Travel_Rarely,1236,Sales,9,5,Technical Degree,4,Female,50,3,2,Manager,1.0,Single,3660.0,4464,2,Yes,16,4,4,1,36,2,4,7.0,2,0,2,1,7-10 yrs,3K-6K,Low,Best
43,37,No,Travel_Frequently,1475,Sales,2,5,Life Sciences,4,Female,54,3,3,Sales Representative,4.0,Single,12172.0,21697,3,Yes,17,3,4,1,13,5,2,9.0,3,2,6,0,7-10 yrs,10K-15K,Very High,Good
44,24,No,Travel_Rarely,453,Research & Development,1,4,Life Sciences,1,Female,83,3,5,Manufacturing Director,4.0,Divorced,15569.0,15452,5,Yes,17,3,4,1,3,1,3,3.0,3,2,1,0,2-3 yrs,15K+,Very High,Better
45,31,No,Travel_Rarely,136,Research & Development,12,2,Technical Degree,3,Male,54,3,2,Research Scientist,3.0,Single,6188.0,6806,3,No,14,3,2,1,9,3,4,8.0,4,4,2,0,7-10 yrs,6K-10K,High,Best
46,38,No,Travel_Rarely,1340,Research & Development,17,4,Medical,3,Female,58,2,1,Research Scientist,3.0,Single,3080.0,23085,4,No,12,4,4,0,16,4,2,7.0,7,3,4,0,7-10 yrs,3K-6K,High,Good
47,26,No,Travel_Rarely,103,Research & Development,7,4,Life Sciences,2,Male,84,3,2,Research Scientist,3.0,Married,6914.0,13383,4,No,22,3,3,1,6,3,2,6.0,4,5,6,0,4-6 yrs,6K-10K,High,Good
48,52,Yes,Travel_Rarely,150,Research & Development,25,1,Technical Degree,3,Male,73,3,5,Healthcare Representative,2.0,Single,12713.0,13630,6,Yes,15,4,2,1,32,4,4,7.0,7,3,2,1,7-10 yrs,10K-15K,Medium,Best
49,37,No,Non-Travel,1212,Sales,19,4,Marketing,4,Male,81,3,3,Manager,3.0,Single,8955.0,25582,1,No,19,4,4,0,14,4,3,7.0,3,2,4,0,7-10 yrs,6K-10K,High,Better
50,45,No,Travel_Rarely,1100,Research & Development,5,4,Life Sciences,3,Female,91,2,1,Research Scientist,3.0,Married,5870.0,6134,1,No,17,4,4,2,21,4,1,6.0,4,1,3,0,4-6 yrs,3K-6K,High,Bad
51,37,No,Travel_Rarely,333,Sales,2,2,Technical Degree,3,Female,50,3,2,Sales Executive,4.0,Married,6655.0,6332,4,Yes,15,3,3,0,17,3,2,4.0,4,0,4,0,4-6 yrs,6K-10K,Very High,Good
52,50,No,Travel_Frequently,1443,Sales,1,4,Medical,2,Female,74,3,2,Sales Executive,3.0,Married,6447.0,17040,5,No,18,4,4,1,27,2,3,11.0,2,0,3,0,10+ yrs,6K-10K,High,Better
53,39,No,Travel_Rarely,902,Sales,2,3,Other,2,Male,87,3,3,Sales Executive,3.0,Married,5707.0,18729,1,No,11,3,4,2,17,3,2,7.0,1,3,5,0,7-10 yrs,3K-6K,High,Good
54,34,No,Travel_Rarely,1441,Research & Development,17,5,Life Sciences,1,Female,52,3,1,Research Director,4.0,Married,4908.0,23391,3,No,18,3,2,0,12,3,3,6.0,2,3,4,0,4-6 yrs,3K-6K,Very High,Better
55,51,Yes,Travel_Rarely,565,Research & Development,18,3,Marketing,2,Female,87,3,3,Healthcare Representative,4.0,Divorced,8668.5,26093,1,Yes,17,3,3,0,31,6,3,7.0,3,2,4,1,7-10 yrs,6K-10K,Very High,Better
56,38,No,Non-Travel,223,Sales,7,2,Marketing,2,Male,89,1,5,Manager,3.0,Single,15212.0,3487,3,No,14,3,4,0,14,3,4,11.0,6,4,2,0,10+ yrs,15K+,High,Best
57,41,Yes,Non-Travel,902,Research & Development,6,3,Life Sciences,3,Female,69,3,3,Laboratory Technician,2.0,Divorced,8911.0,5990,2,No,16,3,4,1,20,1,2,5.0,3,2,1,1,4-6 yrs,6K-10K,Medium,Good
58,28,No,Travel_Rarely,582,Human Resources,2,3,Human Resources,4,Male,77,2,3,Human Resources,3.0,Married,10726.0,12381,1,No,14,4,3,1,6,0,3,6.0,6,1,3,0,4-6 yrs,10K-15K,High,Better
59,26,No,Travel_Rarely,348,Research & Development,10,2,Life Sciences,1,Female,36,3,4,Laboratory Technician,4.0,Divorced,8537.0,20741,4,No,19,3,4,0,6,5,3,4.0,4,4,1,0,4-6 yrs,6K-10K,Very High,Better
60,45,Yes,Travel_Frequently,366,Research & Development,11,4,Life Sciences,1,Male,70,2,2,Laboratory Technician,4.0,Divorced,6684.0,5705,1,Yes,16,3,4,1,23,2,3,7.0,5,2,2,1,7-10 yrs,6K-10K,Very High,Better
61,42,Yes,Travel_Rarely,156,Research & Development,8,3,Medical,4,Male,83,2,5,Healthcare Representative,1.0,Divorced,13505.0,8527,2,No,11,3,3,1,22,5,2,4.0,4,3,4,1,4-6 yrs,10K-15K,Low,Good
62,31,No,Travel_Rarely,1380,Sales,1,3,Life Sciences,3,Female,79,3,1,Manager,2.0,Married,3746.0,4720,3,No,11,4,3,1,7,1,3,7.0,3,0,2,0,7-10 yrs,3K-6K,Medium,Better
63,54,No,Travel_Rarely,1427,Research & Development,1,1,Medical,4,Female,68,2,2,Research Director,3.0,Married,10169.0,22863,1,No,11,3,3,0,33,1,3,6.0,1,4,6,0,4-6 yrs,10K-15K,High,Better
64,46,No,Travel_Frequently,815,Research & Development,8,3,Life Sciences,3,Male,87,3,2,Laboratory Technician,3.0,Married,6691.0,7265,3,Yes,15,3,1,1,25,4,3,11.0,3,2,4,0,10+ yrs,6K-10K,High,Better
65,42,No,Travel_Rarely,1322,Sales,6,2,Human Resources,3,Female,60,3,2,Sales Executive,1.0,Divorced,7673.0,5724,4,No,17,3,3,2,22,4,3,8.0,8,0,0,0,7-10 yrs,6K-10K,Low,Better
66,25,No,Travel_Rarely,666,Research & Development,9,4,Life Sciences,4,Female,71,2,4,Research Director,2.0,Married,10134.0,6046,3,No,14,3,3,2,3,2,1,3.0,3,3,1,0,2-3 yrs,10K-15K,Medium,Bad
67,30,No,Travel_Rarely,1200,Research & Development,23,3,Other,3,Male,40,3,5,Manufacturing Director,4.0,Married,12058.0,15325,1,No,14,3,4,0,6,6,3,4.0,4,3,3,0,4-6 yrs,10K-15K,Very High,Better
68,26,No,Travel_Rarely,1086,Research & Development,4,5,Life Sciences,3,Male,50,3,4,Manager,4.0,Single,11737.0,24312,6,No,16,4,3,0,2,3,4,2.0,2,0,2,0,2-3 yrs,10K-15K,Very High,Best
69,24,No,Travel_Frequently,1338,Research & Development,2,3,Marketing,4,Female,61,3,2,Laboratory Technician,1.0,Married,7232.0,3363,1,No,15,3,4,1,0,1,3,0.0,0,0,0,0,0-1 yrs,6K-10K,Low,Better
70,28,No,Travel_Rarely,1458,Sales,21,3,Medical,2,Female,71,2,4,Sales Executive,4.0,Divorced,11059.0,2146,0,No,19,3,4,2,6,2,4,4.0,4,1,4,0,4-6 yrs,10K-15K,Very High,Best
71,26,No,Travel_Rarely,751,Research & Development,3,4,Marketing,2,Female,58,2,2,Research Scientist,4.0,Single,7094.0,6152,2,No,11,4,3,3,5,4,4,5.0,4,2,2,0,4-6 yrs,6K-10K,Very High,Best
72,34,No,Non-Travel,1483,Sales,14,4,Life Sciences,2,Female,31,3,5,Sales Executive,4.0,Married,12575.0,20435,2,No,21,3,2,1,13,1,3,10.0,3,0,6,0,7-10 yrs,10K-15K,Very High,Better
73,41,Yes,Travel_Frequently,635,Sales,9,2,Medical,1,Male,38,2,5,Sales Executive,1.0,Married,12737.0,18874,3,No,15,4,1,0,19,3,2,11.0,1,1,3,1,10+ yrs,10K-15K,Low,Good
74,21,No,Travel_Rarely,1465,Research & Development,12,3,Technical Degree,3,Male,79,2,1,Laboratory Technician,4.0,Single,5838.0,19322,4,No,15,3,3,1,0,1,4,0.0,0,0,0,0,0-1 yrs,3K-6K,Very High,Best
75,46,No,Travel_Rarely,1157,Sales,1,3,Life Sciences,4,Male,63,4,4,Sales Executive,2.0,Single,11325.0,11650,2,No,13,3,1,1,22,3,4,6.0,5,1,2,0,4-6 yrs,10K-15K,Medium,Best
76,52,No,Travel_Rarely,482,Research & Development,2,3,Life Sciences,4,Female,66,2,3,Laboratory Technician,3.0,Married,10695.0,9214,2,No,14,3,2,1,29,5,3,4.0,4,3,4,0,4-6 yrs,10K-15K,High,Better
77,30,No,Travel_Rarely,1183,Research & Development,21,3,Technical Degree,3,Female,48,3,5,Healthcare Representative,3.0,Married,16660.0,4712,0,No,13,3,1,1,10,1,3,8.0,1,3,1,0,7-10 yrs,15K+,High,Better
78,51,No,Travel_Rarely,1055,Research & Development,7,3,Life Sciences,4,Female,40,1,4,Research Scientist,4.0,Married,10011.0,26052,1,Yes,19,3,4,0,30,4,3,6.0,5,1,5,0,4-6 yrs,10K-15K,Very High,Better
79,48,Yes,Travel_Rarely,863,Sales,7,2,Human Resources,4,Female,39,3,5,Sales Representative,1.0,Single,9414.0,8208,4,No,11,3,1,0,27,1,3,3.0,3,0,3,1,2-3 yrs,6K-10K,Low,Better
80,37,No,Travel_Rarely,404,Human Resources,6,3,Life Sciences,4,Male,59,3,4,Manager,4.0,Married,9715.0,12694,1,No,11,3,3,1,15,2,3,4.0,4,3,1,0,4-6 yrs,6K-10K,Very High,Better
81,31,No,Travel_Rarely,689,Sales,2,4,Technical Degree,1,Female,90,3,4,Manager,3.0,Single,10927.0,8611,7,No,15,3,3,1,10,0,3,10.0,10,2,2,0,7-10 yrs,10K-15K,High,Better
82,53,No,Travel_Rarely,1482,Human Resources,1,4,Technical Degree,3,Male,91,4,1,Manager,2.0,Divorced,3755.0,25284,1,Yes,16,3,3,0,30,3,4,16.0,1,7,4,0,10+ yrs,3K-6K,Medium,Best
83,45,No,Travel_Rarely,1261,Sales,10,3,Life Sciences,4,Female,48,2,3,Manager,2.0,Single,5825.0,21184,2,No,17,3,3,0,23,4,3,9.0,2,0,6,0,7-10 yrs,3K-6K,Medium,Better
84,28,No,Travel_Frequently,460,Sales,1,3,Technical Degree,2,Male,87,3,5,Sales Representative,2.0,Single,11263.0,15702,3,No,16,4,3,1,6,2,2,2.0,2,1,2,0,2-3 yrs,10K-15K,Medium,Good
85,43,No,Travel_Rarely,1399,Research & Development,8,2,Life Sciences,4,Male,64,2,2,Research Scientist,3.0,Married,5548.0,14202,1,No,12,3,3,1,23,3,3,7.0,7,1,6,0,7-10 yrs,3K-6K,High,Better
86,49,No,Non-Travel,732,Sales,4,1,Medical,4,Female,87,3,3,Sales Executive,3.0,Single,8819.0,15159,2,No,14,3,3,0,28,0,3,4.0,3,1,4,0,4-6 yrs,6K-10K,High,Better
87,40,No,Travel_Rarely,567,Sales,2,3,Technical Degree,2,Male,86,3,1,Manager,2.0,Single,7791.0,17605,2,No,11,3,3,0,16,5,3,7.0,5,2,5,0,7-10 yrs,6K-10K,Medium,Better
88,50,No,Non-Travel,745,Research & Development,1,2,Life Sciences,3,Male,89,4,2,Manufacturing Director,3.0,Divorced,7838.0,20688,0,Yes,11,3,2,0,29,4,3,8.0,4,1,4,0,7-10 yrs,6K-10K,High,Better
89,39,Yes,Travel_Rarely,1206,Sales,2,2,Marketing,2,Male,53,2,5,Sales Executive,4.0,Married,14965.0,10599,2,Yes,14,3,2,1,19,6,3,4.0,4,1,4,1,4-6 yrs,10K-15K,Very High,Better
90,26,No,Travel_Rarely,327,Research & Development,12,1,Life Sciences,3,Female,65,2,2,Healthcare Representative,3.0,Single,7275.0,7829,3,No,20,3,4,0,5,6,3,5.0,4,3,5,0,4-6 yrs,6K-10K,High,Better
91,24,No,Travel_Frequently,1088,Sales,7,2,Life Sciences,1,Male,44,2,4,Manager,4.0,Married,10497.0,7835,0,No,19,3,1,0,0,2,3,0.0,0,0,0,0,0-1 yrs,10K-15K,Very High,Better
92,41,No,Travel_Rarely,1451,Sales,3,2,Life Sciences,3,Male,87,3,3,Sales Representative,3.0,Married,9499.0,3741,3,No,19,4,4,0,19,4,3,8.0,4,1,4,0,7-10 yrs,6K-10K,High,Better
93,41,No,Travel_Rarely,1319,Sales,11,3,Medical,4,Male,34,3,2,Manager,3.0,Married,8183.0,20046,4,No,17,3,4,1,20,0,4,10.0,2,3,6,0,7-10 yrs,6K-10K,High,Best
94,47,Yes,Travel_Frequently,970,Sales,29,2,Medical,4,Male,86,2,3,Sales Executive,2.0,Married,6438.0,2130,0,No,18,3,3,0,23,0,3,7.0,2,1,6,1,7-10 yrs,6K-10K,Medium,Better
95,48,No,Travel_Frequently,1064,Research & Development,5,2,Life Sciences,4,Female,73,3,4,Research Director,4.0,Divorced,8681.0,8976,1,No,13,3,4,0,26,1,3,8.0,4,1,8,0,7-10 yrs,6K-10K,Very High,Better
96,18,Yes,Travel_Frequently,204,Research & Development,1,1,Marketing,2,Female,66,2,4,Manufacturing Director,1.0,Married,12893.0,9994,2,Yes,16,3,3,0,0,2,3,0.0,0,0,0,1,0-1 yrs,10K-15K,Low,Better
97,54,No,Non-Travel,514,Sales,4,5,Medical,4,Male,36,3,4,Sales Representative,3.0,Single,7543.0,11658,2,No,14,3,3,1,32,3,3,5.0,2,1,5,0,4-6 yrs,6K-10K,High,Better
98,18,Yes,Travel_Rarely,533,Research & Development,23,3,Life Sciences,3,Male,67,2,2,Healthcare Representative,3.0,Divorced,7387.0,10775,5,No,18,4,4,1,0,2,3,0.0,0,0,0,1,0-1 yrs,6K-10K,High,Better
99,35,No,Travel_Rarely,187,Sales,12,2,Life Sciences,2,Female,89,3,1,Sales Executive,2.0,Single,6031.0,17306,2,Yes,16,3,4,0,13,2,3,9.0,4,1,1,0,7-10 yrs,6K-10K,Medium,Better
100,49,Yes,Travel_Rarely,381,Research & Development,1,4,Life Sciences,1,Female,54,3,1,Laboratory Technician,4.0,Single,3190.0,12080,0,No,22,3,4,0,25,1,3,4.0,4,2,3,1,4-6 yrs,3K-6K,Very High,Better
101,40,No,Non-Travel,1404,Sales,1,2,Medical,3,Female,51,3,2,Sales Representative,4.0,Single,8500.0,23217,1,No,14,3,3,0,18,3,3,4.0,4,1,4,0,4-6 yrs,6K-10K,Very High,Better
102,25,Yes,Travel_Rarely,562,Research & Development,17,3,Technical Degree,3,Female,81,2,2,Manager,1.0,Married,7209.0,21462,2,No,11,3,1,0,4,2,4,4.0,1,0,4,1,4-6 yrs,6K-10K,Low,Best
103,54,No,Non-Travel,1006,Sales,1,4,Life Sciences,3,Male,92,4,1,Sales Representative,4.0,Single,3514.0,10983,1,No,18,4,3,1,32,3,3,10.0,3,0,1,0,7-10 yrs,3K-6K,Very High,Better
104,45,No,Travel_Rarely,189,Research & Development,4,1,Marketing,3,Male,50,3,2,Laboratory Technician,4.0,Married,7294.0,23960,1,No,14,3,1,0,22,3,4,4.0,3,4,2,0,4-6 yrs,6K-10K,Very High,Best
105,39,No,Travel_Rarely,1326,Sales,2,1,Life Sciences,3,Male,55,2,4,Sales Representative,4.0,Married,8868.0,9524,3,No,21,3,2,1,15,3,3,12.0,5,4,3,0,10+ yrs,6K-10K,Very High,Better
106,30,No,Travel_Frequently,1403,Research & Development,7,2,Life Sciences,1,Male,82,3,2,Healthcare Representative,4.0,Single,5961.0,10243,0,No,15,3,1,0,6,1,3,6.0,4,2,3,0,4-6 yrs,3K-6K,Very High,Better
107,18,No,Non-Travel,1315,Research & Development,16,1,Marketing,3,Male,43,3,3,Research Scientist,4.0,Single,9840.0,17934,2,No,14,3,1,2,0,0,3,0.0,0,0,0,0,0-1 yrs,6K-10K,Very High,Better
108,20,No,Travel_Rarely,1147,Sales,8,4,Technical Degree,3,Female,95,2,2,Sales Executive,3.0,Married,8838.0,9494,2,Yes,11,3,2,1,0,2,3,0.0,0,0,0,0,0-1 yrs,6K-10K,High,Better
109,48,No,Travel_Rarely,734,Research & Development,3,4,Life Sciences,4,Female,42,3,3,Laboratory Technician,2.0,Married,7678.0,19189,0,No,16,4,4,2,26,1,3,3.0,3,1,3,0,2-3 yrs,6K-10K,Medium,Better
110,21,No,Travel_Rarely,499,Research & Development,16,3,Marketing,4,Female,89,4,1,Manufacturing Director,1.0,Divorced,2959.0,23317,5,No,13,3,3,1,0,3,3,0.0,0,0,0,0,0-1 yrs,Below 3K,Low,Better
111,60,No,Travel_Rarely,1092,Research & Development,21,4,Human Resources,1,Male,58,1,3,Manufacturing Director,2.0,Divorced,6554.0,23961,0,Yes,16,3,1,1,36,5,2,7.0,2,1,3,0,7-10 yrs,6K-10K,Medium,Good
112,30,No,Travel_Rarely,1461,Research & Development,13,3,Marketing,3,Female,73,2,5,Manufacturing Director,3.0,Married,15122.0,22870,3,No,17,4,3,1,6,4,2,5.0,3,2,5,0,4-6 yrs,15K+,High,Good
113,53,No,Travel_Frequently,187,Sales,2,2,Technical Degree,1,Female,39,3,3,Sales Executive,3.0,Divorced,6337.0,9778,3,No,12,4,3,1,32,2,3,4.0,3,0,4,0,4-6 yrs,6K-10K,High,Better
114,45,No,Travel_Rarely,378,Research & Development,3,2,Marketing,2,Male,59,3,2,Manager,2.0,Divorced,7263.0,23189,3,No,14,3,2,1,25,5,3,9.0,2,0,2,0,7-10 yrs,6K-10K,Medium,Better
